id,text,crew
8,Erfolgreiche Durchführung von über 500 Laborprojekten,1
7,Langjähriger Laborleiter im Krankenhaus und in niedergelassenen Laborfacharztpraxen,1
6,30-jährige Berufserfahrung,1
5,Diplom-Ingenieur für das technische Gesundheitswesen,1
13,Expertise in der experimentellen Analytik,2
12,Erstellung von Raumnutzungskonzepten,2
11,Konzepterarbeitung und Betreuung von EU-weiten Ausschreibungen bei Laborgroßprojekten,2
10,Zertifizierte Vergabepraktikerin (Reguvis),2
9,Doktorin der Naturwissenschaften,2
20,Personalkonzepte,3
19,Statistische Auswertungen (UBC-DATA),3
18,Master of Science Materialwissenschaften,3
17,Point-Of-Care Testing (POCT),4
16,Personalmanagement,4
15,Workflow und Automationsspezialistin,4
14,MTLA (Leitungsqualifikation),4
23,Konzepterarbeitung,5
22,Statistische Auswertung (UBC-DATA),5
21,Master of Science Physik,5
4,Langjährige Erfahrung im Bereich Prozesssteuerung,6
3,Workflow-Spezialist,6
2,MBA Internationales Finanzwesen,6
1,Diplom-Informatiker,6
